,age,workclass,education,marital.status,occupation,relationship,race,sex,hours.per.week,income_binary,capital,continent
10527,30,Self-emp-not-inc,Some-college,Divorced,Other-service,Unmarried,White,Female,30,0,0,North America
9920,35,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,45,0,0,North America
2602,17,Private,11th,Never-married,Sales,Own-child,White,Female,20,0,0,North America
6419,32,Private,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,0,3908,North America
15652,62,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,25,0,0,North America
22521,56,Private,HS-grad,Widowed,Sales,Not-in-family,White,Female,40,0,-1974,North America
29590,24,Private,Some-college,Never-married,Machine-op-inspct,Not-in-family,White,Female,24,0,0,Latin America & Caribbean
19696,69,Private,HS-grad,Never-married,Transport-moving,Not-in-family,White,Male,40,1,15831,North America
12407,26,Private,Assoc-acdm,Divorced,Prof-specialty,Unmarried,White,Female,45,0,0,North America
28340,23,Private,Some-college,Never-married,Handlers-cleaners,Own-child,White,Male,50,0,2597,North America
13613,39,State-gov,HS-grad,Married-civ-spouse,Adm-clerical,Wife,Asian-Pac-Islander,Female,20,0,3464,North America
29008,46,Private,HS-grad,Married-spouse-absent,Machine-op-inspct,Not-in-family,White,Female,40,0,0,South Asia
3922,46,Private,HS-grad,Divorced,Prof-specialty,Unmarried,White,Female,40,0,0,North America
11051,27,Private,HS-grad,Divorced,Exec-managerial,Unmarried,White,Female,40,0,0,North America
12339,47,Self-emp-not-inc,Some-college,Married-civ-spouse,Farming-fishing,Husband,White,Male,86,0,0,North America
14771,33,Federal-gov,HS-grad,Never-married,Adm-clerical,Own-child,White,Female,30,0,0,North America
24708,19,Private,Some-college,Never-married,Other-service,Own-child,White,Female,15,0,0,North America
23882,22,Private,HS-grad,Never-married,Sales,Not-in-family,White,Male,45,0,0,North America
27409,45,Self-emp-not-inc,Bachelors,Married-civ-spouse,Transport-moving,Husband,White,Male,40,1,0,North America
3639,48,Private,11th,Married-civ-spouse,Transport-moving,Husband,White,Male,40,0,-2002,North America
17121,23,Private,Some-college,Never-married,Prof-specialty,Own-child,White,Male,10,0,0,North America
30018,48,Private,1st-4th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,0,0,Europe & Central Asia
26044,21,Private,Some-college,Never-married,Adm-clerical,Not-in-family,White,Female,20,0,0,North America
21502,32,Private,HS-grad,Separated,Craft-repair,Unmarried,Black,Male,40,0,0,North America
22707,32,Private,Some-college,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,0,0,North America
29909,28,Private,Bachelors,Never-married,Prof-specialty,Own-child,Black,Female,40,0,0,North America
19796,49,Private,HS-grad,Separated,Sales,Unmarried,White,Male,50,0,0,North America
22952,59,Self-emp-not-inc,7th-8th,Married-civ-spouse,Transport-moving,Husband,White,Male,40,0,0,North America
2406,45,Self-emp-not-inc,10th,Married-civ-spouse,Craft-repair,Husband,White,Male,70,0,0,North America
26502,35,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,35,0,0,North America
13903,20,Private,HS-grad,Never-married,Sales,Own-child,Black,Female,20,0,0,North America
11448,45,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,1,7298,North America
15405,42,Private,HS-grad,Never-married,Exec-managerial,Unmarried,Black,Female,25,0,0,North America
11399,38,State-gov,HS-grad,Divorced,Other-service,Unmarried,White,Female,20,0,2036,North America
20352,40,Federal-gov,Some-college,Married-civ-spouse,Farming-fishing,Husband,White,Male,40,0,0,North America
25586,35,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,White,Male,38,1,7688,North America
12401,27,Private,Bachelors,Divorced,Adm-clerical,Not-in-family,White,Female,35,0,0,North America
15469,19,Private,Assoc-voc,Never-married,Prof-specialty,Own-child,White,Female,40,0,0,North America
7348,46,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,50,1,-1902,North America
17355,20,Private,Some-college,Never-married,Adm-clerical,Own-child,White,Female,40,0,0,Latin America & Caribbean
26045,22,Private,HS-grad,Never-married,Machine-op-inspct,Not-in-family,White,Male,50,0,0,North America
23789,28,Private,Masters,Married-spouse-absent,Sales,Not-in-family,White,Female,80,1,0,North America
5183,50,Private,Assoc-voc,Married-civ-spouse,Other-service,Husband,White,Male,40,0,0,North America
8824,38,Private,HS-grad,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Male,48,0,0,Latin America & Caribbean
21439,17,Private,11th,Never-married,Other-service,Own-child,White,Female,20,0,0,North America
20679,32,Private,HS-grad,Married-spouse-absent,Handlers-cleaners,Other-relative,White,Male,40,0,0,North America
20332,46,Private,Bachelors,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Male,35,1,-2415,East Asia & Pacific
4149,43,Private,10th,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,0,0,North America
14857,45,Local-gov,Some-college,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,1,0,North America
22633,50,Local-gov,HS-grad,Married-civ-spouse,Other-service,Husband,Black,Male,40,0,0,North America
7585,36,Private,Assoc-voc,Never-married,Tech-support,Not-in-family,White,Male,45,0,0,North America
26608,19,Private,HS-grad,Never-married,Handlers-cleaners,Own-child,White,Female,25,0,0,North America
21773,53,State-gov,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,42,1,0,North America
24289,39,Private,HS-grad,Never-married,Farming-fishing,Own-child,White,Male,12,0,0,North America
1710,46,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,0,0,North America
14480,45,Private,HS-grad,Widowed,Craft-repair,Not-in-family,White,Female,40,0,0,North America
6778,37,Self-emp-inc,Some-college,Married-civ-spouse,Transport-moving,Husband,White,Male,55,1,0,North America
24665,41,Private,HS-grad,Never-married,Sales,Not-in-family,White,Female,50,0,0,North America
11778,18,Private,Some-college,Never-married,Sales,Own-child,Black,Female,21,0,0,North America
28147,23,Private,10th,Never-married,Craft-repair,Not-in-family,White,Male,40,0,0,North America
27262,35,Private,Assoc-voc,Married-civ-spouse,Tech-support,Husband,Black,Male,38,0,0,Latin America & Caribbean
8610,40,Private,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,0,2829,North America
10911,33,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,40,0,-1092,North America
16891,48,Private,Assoc-voc,Divorced,Other-service,Own-child,White,Female,40,0,0,North America
7600,22,Self-emp-inc,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,40,0,0,North America
14354,58,Private,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,45,1,0,North America
28451,34,Private,Some-college,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,0,0,North America
17693,58,Federal-gov,Some-college,Widowed,Prof-specialty,Unmarried,Amer-Indian-Eskimo,Female,40,0,0,North America
16772,68,Private,Some-college,Never-married,Adm-clerical,Not-in-family,White,Female,40,0,0,North America
22304,30,Private,Some-college,Married-civ-spouse,Exec-managerial,Other-relative,White,Male,40,0,0,North America
24090,43,Local-gov,Some-college,Separated,Craft-repair,Not-in-family,Black,Male,40,0,0,North America
3799,30,Private,12th,Divorced,Machine-op-inspct,Not-in-family,White,Male,40,0,0,North America
16525,29,Private,Bachelors,Never-married,Adm-clerical,Own-child,Asian-Pac-Islander,Female,40,0,2202,East Asia & Pacific
25127,43,Private,Bachelors,Married-civ-spouse,Tech-support,Husband,White,Male,24,1,0,North America
23048,44,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,40,1,0,North America
13011,25,Private,Bachelors,Never-married,Sales,Not-in-family,White,Male,65,0,0,North America
21207,28,Private,HS-grad,Never-married,Tech-support,Not-in-family,White,Male,40,0,0,North America
15569,49,Local-gov,Bachelors,Divorced,Prof-specialty,Unmarried,White,Female,50,0,0,Europe & Central Asia
22081,45,Self-emp-not-inc,Some-college,Married-civ-spouse,Other-service,Wife,White,Female,99,0,0,North America
14281,36,Private,Assoc-voc,Never-married,Tech-support,Not-in-family,White,Female,3,0,0,North America
2540,41,Private,Bachelors,Divorced,Exec-managerial,Not-in-family,White,Female,55,0,0,North America
17704,60,Private,HS-grad,Married-civ-spouse,Other-service,Wife,White,Female,40,0,0,North America
20192,20,Private,Some-college,Never-married,Adm-clerical,Own-child,White,Female,12,0,0,North America
17445,24,Private,Some-college,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,0,0,North America
11038,23,Private,Some-college,Never-married,Exec-managerial,Own-child,White,Male,40,0,0,North America
23431,37,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,46,0,0,North America
15526,23,State-gov,Some-college,Never-married,Adm-clerical,Not-in-family,White,Male,15,0,0,North America
22796,32,State-gov,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,40,1,0,North America
15380,51,Private,HS-grad,Divorced,Craft-repair,Own-child,Black,Male,40,0,0,North America
26545,30,Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,1,0,North America
2222,24,Private,Some-college,Never-married,Adm-clerical,Own-child,White,Female,40,0,0,North America
3383,51,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,0,0,North America
15311,42,Private,HS-grad,Divorced,Other-service,Unmarried,White,Female,40,0,0,North America
13075,40,Private,Prof-school,Never-married,Prof-specialty,Not-in-family,White,Female,50,1,14084,North America
1981,26,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,Black,Male,40,0,0,North America
17344,28,Private,Bachelors,Never-married,Sales,Unmarried,White,Male,50,0,0,North America
29112,41,Private,Prof-school,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Male,40,0,0,East Asia & Pacific
13710,33,Private,HS-grad,Divorced,Protective-serv,Not-in-family,White,Male,70,0,0,North America
9298,36,Private,Assoc-acdm,Married-civ-spouse,Tech-support,Husband,White,Male,40,1,0,North America
25416,23,Private,Bachelors,Never-married,Other-service,Own-child,Black,Female,30,0,0,North America
11105,32,Federal-gov,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,Female,40,1,0,North America
22610,32,Private,HS-grad,Never-married,Other-service,Not-in-family,White,Male,60,0,0,North America
747,47,Self-emp-not-inc,HS-grad,Married-civ-spouse,Other-service,Wife,White,Female,75,0,0,Europe & Central Asia
10930,44,Local-gov,Bachelors,Married-civ-spouse,Protective-serv,Husband,White,Male,40,1,0,North America
14004,33,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,0,0,North America
20496,40,Private,7th-8th,Divorced,Farming-fishing,Unmarried,White,Female,40,0,0,North America
15609,24,Private,HS-grad,Never-married,Other-service,Other-relative,White,Male,25,0,0,North America
6994,28,Private,Some-college,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,40,0,0,Latin America & Caribbean
15292,45,Private,Some-college,Divorced,Craft-repair,Not-in-family,White,Male,56,1,27828,North America
13260,47,Private,Some-college,Divorced,Sales,Unmarried,White,Female,60,0,0,North America
18650,35,Private,HS-grad,Never-married,Sales,Not-in-family,White,Male,40,1,4787,North America
13022,25,Private,Some-college,Never-married,Adm-clerical,Unmarried,Black,Female,40,0,0,North America
9942,63,Private,HS-grad,Married-civ-spouse,Sales,Wife,White,Female,35,0,0,North America
