,age,workclass,education,marital.status,occupation,relationship,race,sex,hours.per.week,income_binary,capital,continent
5310,61,Private,7th-8th,Divorced,Other-service,Unmarried,White,Female,40,0,0,North America
26229,42,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,1,0,Latin America & Caribbean
11108,46,Private,Masters,Married-civ-spouse,Prof-specialty,Wife,White,Female,35,1,7688,North America
11156,61,Private,Some-college,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,20,0,0,North America
22138,42,Private,Bachelors,Married-civ-spouse,Craft-repair,Wife,Black,Female,35,1,0,North America
152,39,Federal-gov,Assoc-acdm,Never-married,Exec-managerial,Not-in-family,White,Male,42,0,0,North America
13422,34,Private,Assoc-voc,Divorced,Tech-support,Unmarried,White,Female,40,0,0,North America
26905,38,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,1,0,Latin America & Caribbean
22063,23,Private,HS-grad,Never-married,Sales,Own-child,White,Male,40,0,0,North America
2832,23,Private,Some-college,Never-married,Handlers-cleaners,Own-child,White,Male,30,0,0,North America
30002,20,Private,Some-college,Never-married,Adm-clerical,Other-relative,White,Female,20,0,0,North America
25358,35,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,0,0,North America
3551,49,Private,Masters,Never-married,Sales,Not-in-family,White,Female,35,0,0,North America
20106,35,Private,Masters,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Female,40,1,0,East Asia & Pacific
26282,53,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,1,0,North America
27904,18,Private,Some-college,Never-married,Sales,Own-child,White,Male,15,0,0,North America
12541,49,Private,HS-grad,Widowed,Craft-repair,Unmarried,Asian-Pac-Islander,Female,40,0,0,South Asia
4538,65,Local-gov,HS-grad,Married-civ-spouse,Other-service,Husband,White,Male,8,0,0,North America
14367,27,Private,Bachelors,Never-married,Sales,Not-in-family,White,Male,80,1,0,North America
27379,25,Private,Some-college,Never-married,Tech-support,Unmarried,White,Female,24,0,0,North America
10014,27,Private,5th-6th,Never-married,Other-service,Not-in-family,White,Male,60,0,0,Latin America & Caribbean
12278,41,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,1,15024,North America
26197,64,Private,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,1,0,North America
24847,26,Private,Bachelors,Never-married,Sales,Other-relative,White,Male,40,0,0,North America
15088,19,Private,HS-grad,Never-married,Adm-clerical,Own-child,White,Male,12,0,0,North America
18375,60,Private,HS-grad,Divorced,Tech-support,Unmarried,White,Female,40,0,2597,North America
28659,23,Private,Assoc-voc,Married-civ-spouse,Machine-op-inspct,Own-child,White,Female,30,0,0,North America
24885,27,Private,Bachelors,Never-married,Machine-op-inspct,Not-in-family,White,Male,41,0,0,North America
5141,39,Private,11th,Never-married,Craft-repair,Not-in-family,Black,Male,40,0,0,North America
11814,38,Private,HS-grad,Divorced,Craft-repair,Not-in-family,White,Male,40,0,-2205,North America
20195,50,Private,5th-6th,Married-civ-spouse,Machine-op-inspct,Wife,Asian-Pac-Islander,Female,35,0,0,East Asia & Pacific
28165,46,Private,10th,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,45,0,0,North America
3450,42,Self-emp-not-inc,Some-college,Married-civ-spouse,Farming-fishing,Wife,White,Female,50,0,0,North America
20975,51,Private,Bachelors,Separated,Prof-specialty,Not-in-family,White,Male,40,0,0,North America
23736,41,Local-gov,Masters,Divorced,Prof-specialty,Unmarried,White,Female,60,0,0,North America
16589,27,Local-gov,Some-college,Never-married,Prof-specialty,Other-relative,White,Male,16,0,0,North America
23064,50,Local-gov,Assoc-acdm,Divorced,Prof-specialty,Not-in-family,White,Female,40,0,0,North America
13156,49,Private,Bachelors,Divorced,Protective-serv,Not-in-family,White,Male,40,0,0,North America
2749,35,Self-emp-not-inc,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,60,0,0,East Asia & Pacific
24881,42,Private,Bachelors,Married-spouse-absent,Transport-moving,Not-in-family,White,Male,60,0,0,North America
18233,69,Private,HS-grad,Widowed,Handlers-cleaners,Not-in-family,White,Female,8,0,0,North America
28744,48,Federal-gov,HS-grad,Divorced,Handlers-cleaners,Not-in-family,White,Male,40,0,0,North America
19624,24,Local-gov,Some-college,Never-married,Protective-serv,Unmarried,Other,Male,40,0,1151,North America
12707,46,Private,Some-college,Widowed,Adm-clerical,Not-in-family,White,Female,60,0,0,North America
20466,30,Private,HS-grad,Never-married,Craft-repair,Own-child,White,Male,35,0,0,North America
19493,54,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,1,0,North America
13131,37,Local-gov,Bachelors,Divorced,Prof-specialty,Unmarried,White,Female,35,0,1151,North America
12251,58,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,40,0,0,North America
10179,45,Private,Assoc-acdm,Divorced,Exec-managerial,Unmarried,White,Male,40,0,0,North America
22318,34,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Female,40,0,0,North America
28608,31,Private,HS-grad,Divorced,Sales,Unmarried,Black,Male,50,0,0,North America
5810,40,Private,Bachelors,Divorced,Adm-clerical,Unmarried,White,Female,20,0,0,North America
24959,29,Federal-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,1,0,North America
5634,46,Federal-gov,Some-college,Divorced,Tech-support,Not-in-family,White,Male,40,0,0,North America
20691,69,Private,Some-college,Widowed,Adm-clerical,Not-in-family,White,Female,24,0,0,North America
11580,39,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,0,0,North America
19540,43,Private,Some-college,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,1,0,North America
13926,19,Private,Some-college,Never-married,Adm-clerical,Own-child,White,Female,16,0,0,North America
22918,36,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,1,0,North America
28859,48,State-gov,Masters,Separated,Prof-specialty,Not-in-family,White,Male,60,0,0,North America
1380,20,Private,Some-college,Never-married,Other-service,Not-in-family,White,Male,45,0,0,North America
28040,60,Federal-gov,HS-grad,Divorced,Exec-managerial,Not-in-family,White,Male,40,1,10520,North America
14901,40,Private,HS-grad,Divorced,Machine-op-inspct,Not-in-family,White,Male,48,0,-1980,North America
3832,63,Private,Some-college,Widowed,Other-service,Not-in-family,White,Female,40,0,0,North America
28176,56,Private,HS-grad,Married-civ-spouse,Sales,Wife,White,Female,4,0,0,North America
4776,24,Private,Some-college,Never-married,Sales,Other-relative,Black,Female,40,0,0,North America
24381,35,State-gov,Some-college,Never-married,Farming-fishing,Own-child,White,Male,40,0,0,North America
4276,25,Private,Bachelors,Never-married,Sales,Not-in-family,White,Female,50,0,6849,North America
29783,22,Private,11th,Divorced,Sales,Own-child,White,Male,50,0,0,North America
4958,22,Private,Assoc-voc,Never-married,Other-service,Own-child,White,Male,30,0,0,North America
29556,48,Private,Assoc-acdm,Married-civ-spouse,Prof-specialty,Wife,White,Female,30,1,0,North America
26522,46,Private,Assoc-acdm,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,1,0,North America
16662,18,Private,12th,Never-married,Handlers-cleaners,Own-child,White,Male,20,0,0,North America
23155,27,Private,Some-college,Married-civ-spouse,Adm-clerical,Wife,White,Female,40,0,-1579,North America
7415,51,Private,Doctorate,Divorced,Craft-repair,Not-in-family,White,Female,60,1,4787,North America
3252,43,Local-gov,Some-college,Married-civ-spouse,Adm-clerical,Wife,White,Female,40,1,-1902,North America
28854,53,Private,1st-4th,Divorced,Other-service,Unmarried,Black,Female,40,0,0,Latin America & Caribbean
29259,48,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,40,1,0,North America
16673,51,Private,HS-grad,Divorced,Prof-specialty,Not-in-family,White,Male,40,0,0,North America
19459,33,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,0,0,North America
27214,33,Federal-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,0,0,North America
26798,20,Private,Some-college,Never-married,Sales,Own-child,White,Female,30,0,0,North America
25662,56,Federal-gov,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,1,0,Europe & Central Asia
14300,29,Private,Assoc-acdm,Divorced,Sales,Unmarried,White,Female,40,0,3418,North America
15523,35,Private,HS-grad,Divorced,Adm-clerical,Unmarried,White,Female,40,0,0,North America
14270,26,Private,HS-grad,Divorced,Craft-repair,Unmarried,White,Male,40,0,0,North America
12327,33,Private,Some-college,Never-married,Adm-clerical,Unmarried,Other,Female,38,0,0,North America
11546,34,Private,11th,Married-civ-spouse,Transport-moving,Husband,White,Male,50,0,0,North America
15639,25,Private,HS-grad,Never-married,Prof-specialty,Own-child,White,Male,40,0,0,North America
15042,35,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,1,0,North America
14208,42,Private,Some-college,Widowed,Sales,Unmarried,Black,Female,40,0,0,North America
2468,27,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,70,0,2829,North America
26936,28,Private,Assoc-voc,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,0,0,North America
16654,28,Self-emp-not-inc,HS-grad,Married-civ-spouse,Sales,Wife,White,Female,40,0,0,North America
20954,40,Self-emp-not-inc,Bachelors,Married-civ-spouse,Craft-repair,Husband,White,Male,50,0,0,North America
11757,27,Private,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,42,1,0,North America
13869,35,Private,HS-grad,Never-married,Other-service,Own-child,Black,Female,35,0,0,Latin America & Caribbean
16998,25,Private,Some-college,Never-married,Adm-clerical,Unmarried,Other,Male,40,0,0,North America
9583,38,Private,HS-grad,Married-civ-spouse,Protective-serv,Own-child,White,Male,45,0,0,North America
6696,35,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,1,0,North America
20700,32,Private,5th-6th,Separated,Farming-fishing,Other-relative,White,Male,60,0,0,Latin America & Caribbean
3180,25,Local-gov,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Male,40,0,0,North America
15089,46,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,0,0,North America
17806,21,Private,Some-college,Never-married,Prof-specialty,Own-child,White,Female,32,0,1055,North America
8275,59,Self-emp-not-inc,Bachelors,Married-civ-spouse,Farming-fishing,Husband,White,Male,30,0,0,North America
9065,28,Private,Prof-school,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,99,0,0,East Asia & Pacific
11030,32,Private,Assoc-acdm,Married-civ-spouse,Craft-repair,Husband,White,Male,40,1,-1887,Europe & Central Asia
26830,43,State-gov,Some-college,Divorced,Adm-clerical,Unmarried,White,Female,40,0,0,North America
4557,46,Self-emp-not-inc,Masters,Married-civ-spouse,Craft-repair,Husband,White,Male,50,1,0,North America
7812,44,State-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,1,0,North America
12839,40,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,50,0,0,North America
6297,39,Local-gov,Masters,Divorced,Prof-specialty,Unmarried,White,Female,40,0,0,North America
29938,54,State-gov,HS-grad,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,0,0,North America
25839,28,Private,HS-grad,Never-married,Other-service,Unmarried,White,Female,40,0,0,Latin America & Caribbean
14534,22,Without-pay,HS-grad,Never-married,Handlers-cleaners,Own-child,White,Male,40,0,4416,North America
29703,30,Private,Assoc-voc,Married-civ-spouse,Prof-specialty,Own-child,White,Female,16,1,7298,North America
1132,31,Private,11th,Separated,Other-service,Not-in-family,Black,Female,42,0,0,North America
10642,23,Private,Bachelors,Never-married,Tech-support,Not-in-family,White,Female,20,0,0,North America
10521,34,Private,Prof-school,Never-married,Tech-support,Not-in-family,Asian-Pac-Islander,Male,40,1,-1564,South Asia
22626,73,Self-emp-inc,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,50,1,0,North America
26296,53,Private,HS-grad,Married-civ-spouse,Other-service,Husband,Black,Male,40,0,-1740,North America
28894,47,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,40,1,0,North America
2871,25,Private,Bachelors,Never-married,Exec-managerial,Own-child,White,Male,55,0,0,North America
23807,49,Private,Some-college,Divorced,Other-service,Unmarried,White,Female,40,0,0,North America
12996,36,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,50,0,0,North America
19164,50,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,1,15024,North America
1772,45,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,45,0,-1628,North America
10593,45,Private,HS-grad,Never-married,Transport-moving,Not-in-family,White,Male,40,0,0,North America
21904,56,Local-gov,Some-college,Married-civ-spouse,Adm-clerical,Wife,White,Female,15,0,0,North America
1913,19,Private,HS-grad,Never-married,Farming-fishing,Own-child,White,Male,45,0,0,North America
14212,31,Private,5th-6th,Never-married,Machine-op-inspct,Not-in-family,White,Male,45,0,0,Latin America & Caribbean
26135,44,Self-emp-inc,Some-college,Never-married,Sales,Not-in-family,White,Male,60,0,-2258,North America
9256,41,Local-gov,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,55,0,0,North America
20170,23,Private,10th,Never-married,Other-service,Not-in-family,White,Female,40,0,0,North America
12602,49,Private,10th,Separated,Exec-managerial,Not-in-family,Black,Male,99,0,4416,North America
27060,59,Private,Assoc-voc,Married-civ-spouse,Sales,Husband,White,Male,50,0,-1740,North America
14188,38,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,55,1,7688,North America
24729,48,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,44,0,0,North America
15417,23,Private,Bachelors,Never-married,Prof-specialty,Own-child,White,Male,40,0,0,North America
18545,35,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,Other,Male,40,0,0,Latin America & Caribbean
19392,30,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,50,0,0,North America
1105,44,Private,Bachelors,Never-married,Other-service,Not-in-family,White,Male,40,1,0,North America
25930,27,Private,Some-college,Never-married,Transport-moving,Other-relative,White,Male,40,0,0,North America
17076,34,Private,HS-grad,Divorced,Craft-repair,Unmarried,White,Male,40,0,0,North America
27719,30,Local-gov,Some-college,Never-married,Adm-clerical,Own-child,White,Female,10,0,0,North America
4956,21,Private,Assoc-voc,Married-civ-spouse,Adm-clerical,Other-relative,White,Female,40,0,-1579,North America
8307,42,Private,11th,Separated,Other-service,Unmarried,White,Female,38,0,0,North America
29285,25,Private,Assoc-acdm,Never-married,Handlers-cleaners,Own-child,White,Male,26,0,0,North America
20753,26,Private,HS-grad,Separated,Sales,Unmarried,Black,Female,37,0,0,North America
19149,20,Private,Assoc-voc,Never-married,Farming-fishing,Own-child,White,Male,40,0,0,North America
20313,42,Private,HS-grad,Divorced,Transport-moving,Not-in-family,White,Male,50,0,0,North America
26377,22,Private,HS-grad,Never-married,Craft-repair,Own-child,White,Male,50,0,0,North America
3696,21,Private,Assoc-acdm,Never-married,Other-service,Not-in-family,Black,Male,35,0,0,Latin America & Caribbean
7778,82,Private,7th-8th,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,2,0,0,North America
25656,28,Private,Assoc-voc,Never-married,Tech-support,Not-in-family,Black,Female,40,0,0,North America
628,23,Local-gov,Some-college,Separated,Exec-managerial,Unmarried,Black,Male,40,0,0,North America
2451,34,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,0,0,North America
25501,20,Private,HS-grad,Never-married,Other-service,Own-child,White,Male,50,0,0,North America
20208,22,Private,Some-college,Never-married,Handlers-cleaners,Own-child,White,Male,20,0,0,North America
28604,26,Private,Masters,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Male,20,0,0,South Asia
30101,24,Private,11th,Divorced,Machine-op-inspct,Unmarried,White,Female,40,0,0,North America
20127,23,Private,Bachelors,Never-married,Other-service,Own-child,White,Male,40,0,0,North America
2176,33,Private,Assoc-voc,Never-married,Adm-clerical,Not-in-family,White,Male,45,0,0,North America
23073,43,Private,Some-college,Never-married,Adm-clerical,Unmarried,Black,Female,40,0,0,North America
25242,46,Private,Some-college,Divorced,Exec-managerial,Not-in-family,White,Female,40,0,0,North America
19702,19,Private,Some-college,Never-married,Adm-clerical,Own-child,White,Male,10,0,0,North America
25718,29,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,45,1,3103,North America
23816,59,Private,HS-grad,Widowed,Exec-managerial,Unmarried,White,Female,50,0,0,North America
2787,71,Local-gov,Bachelors,Widowed,Prof-specialty,Unmarried,White,Female,6,0,0,North America
12297,59,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,0,5013,North America
1196,58,Self-emp-inc,Some-college,Married-civ-spouse,Transport-moving,Wife,White,Female,40,1,0,North America
18060,29,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,30,1,-1887,North America
20331,45,Private,9th,Never-married,Other-service,Not-in-family,White,Female,15,0,0,North America
7618,52,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,40,1,0,North America
4444,43,Private,Some-college,Married-civ-spouse,Transport-moving,Husband,White,Male,60,1,0,North America
11128,23,Federal-gov,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,15,0,0,North America
15514,26,Local-gov,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,38,0,0,North America
5722,52,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Wife,White,Female,40,1,0,North America
26656,36,Private,HS-grad,Divorced,Adm-clerical,Unmarried,White,Female,40,0,0,North America
10695,39,Private,HS-grad,Divorced,Priv-house-serv,Unmarried,White,Female,22,0,0,North America
27792,43,Local-gov,Some-college,Married-civ-spouse,Tech-support,Husband,White,Male,99,1,4386,North America
18753,21,Private,11th,Never-married,Farming-fishing,Unmarried,White,Male,40,0,0,North America
4967,63,Self-emp-not-inc,Some-college,Married-civ-spouse,Farming-fishing,Husband,White,Male,20,0,0,North America
18601,43,Local-gov,Assoc-voc,Divorced,Exec-managerial,Not-in-family,White,Female,40,0,0,North America
24532,36,Local-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,1,-1887,North America
10410,18,Private,HS-grad,Never-married,Sales,Own-child,Amer-Indian-Eskimo,Female,20,0,0,North America
19710,23,Private,Some-college,Never-married,Other-service,Own-child,White,Female,35,0,0,North America
4009,31,Self-emp-not-inc,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,1,-1902,Latin America & Caribbean
15515,24,Private,10th,Never-married,Other-service,Other-relative,White,Male,30,0,0,Latin America & Caribbean
3583,53,Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,Black,Male,35,0,0,North America
29827,67,Self-emp-inc,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,20,1,20051,North America
18020,30,Federal-gov,Some-college,Married-civ-spouse,Adm-clerical,Husband,White,Male,48,1,7298,Latin America & Caribbean
20003,51,Private,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,Female,20,0,0,North America
22601,27,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,0,0,North America
18852,34,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,Black,Male,40,1,0,Latin America & Caribbean
12424,75,Self-emp-not-inc,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,35,0,0,North America
8277,22,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Female,30,0,0,North America
22620,30,Local-gov,Assoc-voc,Divorced,Protective-serv,Unmarried,Amer-Indian-Eskimo,Female,40,0,0,North America
22357,41,Private,Some-college,Divorced,Adm-clerical,Not-in-family,Black,Female,24,0,0,Latin America & Caribbean
3667,28,Private,7th-8th,Married-civ-spouse,Craft-repair,Husband,White,Male,30,0,0,North America
12474,31,Private,Assoc-acdm,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Male,40,0,0,North America
21542,25,Private,HS-grad,Never-married,Adm-clerical,Own-child,Black,Female,40,0,4416,Latin America & Caribbean
23978,38,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,48,0,0,North America
23360,47,State-gov,HS-grad,Divorced,Adm-clerical,Unmarried,White,Female,38,0,1831,North America
12782,34,Self-emp-inc,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Male,50,0,0,North America
10211,43,Private,Some-college,Divorced,Tech-support,Own-child,White,Female,72,0,-1617,North America
3423,30,Private,Assoc-voc,Married-civ-spouse,Prof-specialty,Wife,White,Female,36,1,0,North America
10717,26,Private,5th-6th,Never-married,Transport-moving,Not-in-family,White,Male,40,0,0,South Asia
8199,30,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,0,0,North America
18793,36,Private,HS-grad,Never-married,Other-service,Not-in-family,Black,Female,40,0,0,North America
19596,40,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,1,0,North America
27927,25,Private,Some-college,Never-married,Adm-clerical,Own-child,White,Female,40,0,0,North America
5366,18,Private,10th,Never-married,Other-service,Own-child,White,Male,11,0,0,North America
17313,37,Private,7th-8th,Never-married,Machine-op-inspct,Own-child,White,Female,25,0,0,North America
22977,41,Private,Assoc-acdm,Divorced,Exec-managerial,Unmarried,Black,Female,50,0,0,North America
2895,56,Federal-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,1,0,North America
24820,23,Private,Bachelors,Never-married,Exec-managerial,Own-child,White,Female,60,0,0,North America
14122,27,Private,9th,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,37,0,0,Europe & Central Asia
1296,53,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,1,0,North America
3642,40,Private,HS-grad,Never-married,Handlers-cleaners,Own-child,White,Male,40,0,0,Europe & Central Asia
25993,22,Private,Assoc-acdm,Never-married,Adm-clerical,Not-in-family,White,Female,15,0,0,North America
25912,37,Private,Bachelors,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,0,0,North America
27639,56,Self-emp-not-inc,11th,Married-civ-spouse,Craft-repair,Husband,White,Male,20,0,0,North America
29696,34,Private,HS-grad,Never-married,Other-service,Unmarried,Black,Male,30,0,0,North America
29409,38,Local-gov,Prof-school,Married-civ-spouse,Prof-specialty,Husband,Black,Male,40,1,0,North America
8548,36,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,0,0,North America
21642,24,Self-emp-not-inc,Some-college,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Male,30,1,0,North America
5451,53,Private,Some-college,Divorced,Craft-repair,Not-in-family,White,Male,48,1,0,North America
23544,41,Private,9th,Divorced,Other-service,Other-relative,White,Female,35,0,0,North America
10685,30,Private,Doctorate,Never-married,Prof-specialty,Own-child,White,Male,20,0,0,North America
15449,40,Private,Assoc-voc,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,1,0,North America
7866,46,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,1,0,North America
19127,37,Private,Assoc-acdm,Married-civ-spouse,Prof-specialty,Wife,White,Female,13,1,0,North America
12867,43,Private,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,Female,50,1,0,North America
14607,27,Private,9th,Never-married,Other-service,Own-child,White,Male,30,0,0,North America
9797,30,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Female,40,0,0,North America
11755,21,Private,Assoc-voc,Never-married,Tech-support,Own-child,White,Female,30,0,0,North America
13979,25,Private,Bachelors,Never-married,Prof-specialty,Other-relative,White,Male,40,0,0,North America
21342,19,Private,HS-grad,Never-married,Handlers-cleaners,Other-relative,White,Male,40,0,0,North America
9738,47,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,Asian-Pac-Islander,Male,40,1,3103,East Asia & Pacific
14385,18,Private,11th,Never-married,Other-service,Own-child,Amer-Indian-Eskimo,Male,20,0,0,North America
6474,50,Private,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,36,1,0,North America
24272,35,Private,Some-college,Married-civ-spouse,Tech-support,Husband,White,Male,40,0,0,North America
8811,52,Local-gov,Some-college,Divorced,Exec-managerial,Not-in-family,White,Female,38,0,0,North America
492,57,Private,1st-4th,Widowed,Priv-house-serv,Not-in-family,Black,Female,30,0,0,North America
11691,36,Private,Assoc-voc,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,38,0,0,North America
26998,24,Private,Some-college,Never-married,Sales,Own-child,White,Male,20,0,0,North America
1116,48,Self-emp-not-inc,Some-college,Married-civ-spouse,Craft-repair,Husband,Amer-Indian-Eskimo,Male,40,1,7688,North America
5637,31,Private,Some-college,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,0,0,North America
5085,43,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,40,1,7298,North America
