"","x"
"482",1
"483",1
"484",1
"485",2
"486",2
"487",1
"488",1
"489",1
"490",1
"491",2
"492",1
"493",2
"494",1
"495",1
"496",2
"497",1
"498",2
"499",2
"500",1
"501",1
"502",1
"503",1
"504",1
"505",2
"506",2
"507",2
"508",1
"509",2
"510",1
"511",1
"512",2
"513",2
"514",2
"515",2
"516",1
"517",2
"518",1
"519",1
"520",2
"521",1
"522",2
"523",1
"524",2
"525",2
"526",1
"527",1
"528",1
"529",1
"530",1
"531",1
"532",1
"533",1
"534",2
"535",1
"536",1
"537",1
"538",1
"539",1
"540",1
"541",1
"542",2
"543",2
"544",2
"545",2
"546",2
"547",1
"548",2
"549",1
"550",2
"551",2
"552",1
"553",1
"554",1
"555",1
"556",1
"557",1
"558",2
"559",1
"560",2
"561",1
"562",1
"563",2
"564",1
"565",1
"566",1
"567",1
"568",2
"569",1
"570",1
"571",2
"572",1
"573",2
"574",1
"575",1
"576",2
"577",1
"578",2
"579",1
"580",2
"581",1
"582",2
"583",2
"584",1
"585",1
"586",1
"587",2
"588",1
"589",2
"590",1
"591",1
"592",1
"593",1
"594",2
"595",1
"596",1
"597",1
"598",1
"599",1
"600",1
"601",1
"602",1
"603",2
"604",1
"605",2
"606",2
"607",2
"608",2
"609",1
"610",1
"611",1
"612",2
"613",2
"614",2
"615",1
"616",2
"617",1
"618",2
"619",2
"620",1
"621",1
"622",1
"623",1
"624",1
"625",2
"626",1
"627",1
"628",1
"629",1
"630",2
"631",1
"632",1
"633",1
"634",1
"635",1
"636",2
"637",1
"638",2
"639",2
"640",1
"641",2
"642",1
"643",2
"644",2
"645",2
"646",2
"647",2
"648",1
"649",2
"650",1
"651",1
"652",2
"653",1
"654",2
"655",1
"656",1
"657",1
"658",1
"659",2
"660",2
"661",2
"662",2
"663",1
"664",2
"665",2
"666",1
"667",2
"668",2
"669",1
"670",2
"671",1
"672",2
"673",1
"674",2
"675",2
"676",2
"677",1
"678",1
"679",1
"680",1
"681",2
"682",2
"683",1
"684",1
"685",1
"686",2
"687",2
"688",1
"689",2
"690",1
"691",1
"692",2
"693",1
"694",1
"695",2
"696",1
"697",1
"698",1
"699",1
"700",1
"701",2
"702",1
"703",1
"704",2
"705",2
"706",1
"707",1
"708",2
"709",2
"710",2
"711",1
"712",1
"713",1
"714",1
"715",1
"716",2
"717",2
"718",1
"719",1
"720",2
"721",1
"722",2
"723",1
"724",1
"725",2
"726",1
"727",1
"728",1
"729",2
"730",2
"731",2
"732",2
"733",1
"734",1
"735",1
"736",2
"737",1
"738",1
"739",2
"740",1
"741",2
"742",1
"743",2
"744",2
"745",2
"746",1
"747",2
"748",1
"749",1
"750",1
"751",1
"752",2
"753",1
"754",1
"755",1
"756",1
"757",1
"758",1
"759",1
"760",1
"761",1
"762",1
"763",1
"764",2
"765",1
"766",1
"767",1
"768",1
"769",2
"770",1
"771",1
"772",2
"773",2
"774",1
"775",2
"776",1
"777",2
"778",2
"779",1
"780",1
"781",1
"782",2
"783",2
"784",1
"785",2
"786",1
"787",1
"788",1
"789",1
"790",1
"791",2
"792",1
"793",2
"794",2
"795",2
"796",1
"797",1
"798",1
"799",1
"800",2
"801",1
"802",2
"803",1
"804",1
"805",2
"806",2
"807",2
"808",2
"809",1
"810",1
"811",2
"812",1
"813",2
"814",1
"815",1
"816",2
"817",2
"818",2
"819",1
"820",1
"821",2
"822",1
"823",1
"824",2
"825",1
"826",1
"827",1
"828",1
"829",1
"830",1
"831",2
"832",1
"833",2
"834",2
"835",1
"836",2
"837",2
"838",1
"839",1
"840",2
"841",2
"842",1
"843",1
"844",1
"845",1
"846",1
"847",1
"848",1
"849",1
"850",1
"851",2
"852",1
"853",2
"854",2
"855",1
"856",2
"857",1
"858",1
"859",2
"860",2
"861",1
"862",2
"863",1
"864",2
"865",1
"866",1
"867",1
"868",2
"869",2
"870",1
"871",1
"872",1
"873",1
"874",1
"875",1
"876",1
"877",1
"878",1
"879",1
"880",1
"881",2
"882",1
"883",1
"884",1
"885",2
"886",2
"887",1
"888",1
"889",1
"890",2
"891",1
"892",2
"893",2
"894",2
"895",1
"896",1
"897",1
"898",2
"899",1
"900",2
"901",2
"902",1
"903",1
"904",1
"905",1
"906",1
"907",1
"908",2
"909",1
"910",1
"911",2
"912",1
"913",1
"914",2
"915",2
"916",1
"917",1
"918",1
"919",2
"920",2
"921",1
"922",1
"923",2
"924",1
"925",1
"926",2
"927",1
"928",1
"929",1
"930",2
"931",2
"932",1
"933",1
"934",1
"935",2
"936",1
"937",2
"938",1
"939",2
"940",1
"941",1
"942",2
"943",1
"944",1
"945",1
"946",2
"947",2
"948",1
"949",1
"950",1
"951",1
"952",1
"953",1
"954",1
"955",2
"956",1
"957",1
"958",2
"959",1
"960",1
"961",1
"962",1
"963",1
"964",2
"965",2
"966",1
"967",1
"968",2
"969",1
"970",2
"971",1
"972",1
"973",2
"974",2
"975",1
"976",1
"977",1
"978",1
"979",2
"980",1
"981",1
"982",1
"983",1
"984",1
"985",1
"986",1
"987",1
"988",1
"989",2
"990",1
"991",2
"992",1
"993",2
"994",2
"995",1
"996",2
"997",2
"998",2
"999",1
"1000",1
"1001",1
"1002",1
"1003",1
"1004",1
"1005",1
"1006",1
"1007",1
"1008",2
"1009",2
"1010",1
"1011",1
"1012",1
"1013",1
"1014",1
"1015",1
"1016",2
"1017",1
"1018",2
"1019",1
"1020",2
"1021",2
"1022",1
"1023",1
"1024",1
"1025",1
"1026",1
"1027",2
"1028",1
"1029",1
"1030",2
"1031",2
"1032",1
"1033",1
"1034",2
"1035",1
"1036",2
"1037",1
"1038",1
"1039",1
"1040",2
"1041",1
"1042",2
"1043",2
"1044",2
"1045",1
"1046",1
"1047",2
"1048",1
"1049",1
"1050",1
"1051",1
"1052",1
"1053",1
"1054",1
"1055",1
"1056",2
"1057",1
"1058",1
"1059",1
"1060",2
"1061",1
"1062",2
"1063",1
"1064",2
"1065",1
"1066",1
"1067",1
"1068",1
"1069",1
"1070",1
"1071",2
"1072",1
"1073",2
"1074",1
"1075",1
"1076",1
"1077",1
"1078",2
"1079",1
"1080",1
"1081",1
"1082",2
"1083",1
"1084",1
"1085",2
"1086",2
"1087",2
"1088",1
"1089",1
"1090",1
"1091",2
"1092",2
"1093",2
"1094",2
"1095",1
"1096",1
"1097",1
"1098",1
"1099",1
"1100",1
"1101",1
"1102",1
"1103",1
"1104",2
"1105",1
"1106",1
"1107",1
"1108",2
"1109",1
"1110",1
"1111",1
"1112",1
"1113",1
"1114",2
"1115",1
"1116",1
"1117",1
"1118",1
"1119",1
"1120",2
"1121",1
"1122",2
"1123",1
"1124",1
"1125",2
"1126",2
"1127",1
"1128",1
"1129",2
"1130",2
"1131",2
"1132",1
"1133",2
"1134",1
"1135",1
"1136",2
"1137",2
"1138",1
"1139",1
"1140",2
"1141",2
"1142",1
"1143",1
"1144",1
"1145",1
"1146",1
"1147",2
"1148",2
"1149",1
"1150",2
"1151",2
"1152",2
"1153",1
"1154",1
"1155",2
"1156",2
"1157",1
"1158",1
"1159",1
"1160",1
"1161",1
"1162",2
"1163",1
"1164",1
"1165",2
"1166",1
"1167",1
"1168",1
"1169",1
"1170",1
"1171",1
"1172",2
"1173",1
"1174",1
"1175",1
"1176",2
"1177",1
"1178",2
"1179",1
"1180",1
"1181",1
"1182",1
"1183",2
"1184",1
"1185",1
"1186",2
"1187",1
"1188",1
"1189",1
"1190",1
"1191",1
"1192",1
"1193",1
"1194",2
"1195",2
"1196",1
"1197",1
"1198",1
"1199",1
"1200",2
"1201",1
"1202",2
"1203",2
"1204",2
"1205",1
"1206",1
"1207",2
"1208",1
"1209",1
"1210",2
"1211",2
"1212",1
"1213",2
"1214",1
"1215",2
"1216",1
"1217",1
"1218",2
"1219",1
"1220",1
"1221",1
"1222",1
"1223",1
"1224",2
"1225",1
"1226",1
"1227",1
"1228",1
"1229",1
"1230",2
"1231",1
"1232",1
"1233",2
"1234",1
"1235",1
"1236",1
"1237",2
"1238",2
"1239",1
"1240",2
"1241",1
"1242",1
"1243",1
"1244",2
"1245",1
"1246",2
"1247",1
"1248",2
"1249",1
"1250",1
"1251",2
"1252",2
"1253",1
"1254",1
"1255",2
"1256",1
"1257",2
"1258",1
"1259",2
"1260",1
"1261",1
"1262",1
"1263",1
"1264",1
"1265",1
"1266",1
"1267",2
"1268",1
"1269",1
"1270",2
"1271",2
"1272",1
"1273",2
"1274",2
"1275",1
"1276",2
"1277",2
"1278",1
"1279",2
"1280",2
"1281",1
"1282",1
"1283",1
"1284",1
"1285",1
"1286",2
"1287",2
"1288",1
"1289",2
"1290",1
"1291",2
"1292",2
"1293",2
"1294",2
"1295",2
"1296",1
"1297",1
"1298",2
"1299",1
"1300",1
"1301",1
"1302",2
"1303",1
"1304",2
"1305",2
"1306",2
"1307",1
"1308",2
"1309",1
"1310",2
"1311",2
"1312",1
"1313",1
"1314",1
"1315",1
"1316",1
"1317",1
"1318",2
"1319",1
"1320",2
"1321",1
"1322",1
"1323",1
"1324",1
"1325",2
"1326",2
"1327",1
"1328",1
"1329",1
"1330",1
"1331",1
"1332",1
"1333",2
"1334",2
"1335",2
"1336",2
"1337",2
"1338",2
"1339",1
"1340",1
"1341",1
"1342",1
"1343",2
"1344",1
"1345",1
"1346",2
"1347",2
"1348",2
"1349",2
"1350",1
"1351",1
"1352",1
"1353",1
"1354",1
"1355",1
"1356",1
"1357",1
"1358",1
"1359",1
"1360",2
"1361",2
"1362",2
"1363",1
"1364",1
"1365",2
"1366",1
"1367",2
"1368",2
"1369",1
"1370",1
"1371",1
"1372",2
"1373",1
"1374",1
"1375",1
"1376",1
"1377",1
"1378",2
"1379",1
"1380",1
"1381",2
"1382",1
"1383",2
"1384",2
"1385",2
"1386",1
"1387",1
"1388",1
"1389",2
"1390",1
"1391",1
"1392",1
"1393",2
"1394",2
"1395",1
"1396",1
"1397",1
"1398",2
"1399",1
"1400",2
"1401",1
"1402",2
"1403",1
"1404",1
"1405",2
"1406",2
"1407",1
"1408",1
"1409",2
"1410",2
"1411",1
"1412",2
"1413",1
"1414",2
"1415",1
"1416",1
"1417",1
"1418",1
"1419",1
"1420",1
"1421",2
"1422",2
"1423",1
"1424",2
"1425",2
"1426",1
"1427",2
"1428",2
"1429",2
"1430",1
"1431",1
"1432",2
"1433",1
"1434",1
"1435",1
"1436",2
"1437",1
"1438",1
"1439",2
"1440",2
"1441",1
"1442",2
"1443",1
"1444",1
"1445",1
"1446",1
"1447",1
"1448",2
"1449",2
"1450",1
"1451",2
"1452",1
"1453",1
"1454",1
"1455",1
"1456",1
"1457",1
"1458",2
"1459",2
"1460",1
"1461",2
"1462",2
"1463",2
"1464",1
"1465",1
"1466",2
"1467",1
"1468",1
"1469",1
"1470",1
"1471",2
"1472",2
"1473",1
"1474",1
"1475",1
"1476",1
"1477",1
"1478",2
"1479",2
"1480",1
"1481",2
"1482",1
"1483",1
"1484",1
"1485",1
"1486",2
"1487",1
"1488",2
"1489",2
"1490",1
"1491",1
"1492",1
"1493",2
"1494",2
"1495",1
"1496",1
"1497",1
"1498",1
"1499",2
"1500",2
"1501",1
"1502",1
"1503",1
"1504",1
"1505",2
"1506",1
"1507",2
"1508",2
"1509",1
"1510",2
"1511",2
"1512",1
"1513",1
"1514",1
"1515",1
"1516",1
"1517",2
"1518",2
"1519",1
"1520",1
"1521",1
"1522",1
"1523",1
"1524",1
"1525",1
"1526",1
"1527",2
"1528",1
"1529",2
"1530",2
"1531",1
"1532",2
"1533",1
"1534",1
"1535",1
"1536",1
"1537",2
"1538",2
"1539",2
"1540",1
"1541",2
"1542",2
"1543",2
"1544",2
"1545",1
"1546",1
"1547",1
"1548",1
"1549",1
"1550",2
"1551",1
"1552",2
"1553",1
"1554",2
"1555",2
"1556",1
"1557",1
"1558",2
"1559",1
"1560",1
"1561",1
"1562",2
"1563",1
"1564",1
"1565",2
"1566",2
"1567",2
"1568",1
"1569",1
"1570",1
"1571",1
"1572",1
"1573",1
"1574",2
"1575",1
"1576",2
"1577",1
"1578",2
"1579",2
"1580",2
"1581",1
"1582",2
"1583",1
"1584",1
"1585",2
"1586",1
"1587",1
"1588",1
"1589",1
"1590",2
"1591",1
"1592",1
"1593",1
"1594",1
"1595",1
"1596",1
"1597",1
"1598",1
"1599",1
"1600",1
"1601",2
"1602",2
"1603",1
"1604",2
"1605",2
"1606",1
"1607",1
"1608",1
"1609",1
"1610",1
"1611",1
"1612",1
"1613",1
"1614",1
"1615",2
"1616",1
"1617",2
"1618",1
"1619",1
"1620",1
"1621",2
"1622",2
"1623",2
"1624",1
"1625",1
"1626",1
"1627",1
"1628",2
"1629",1
"1630",1
"1631",1
"1632",2
"1633",1
"1634",2
"1635",1
"1636",2
"1637",2
"1638",2
"1639",2
"1640",2
"1641",2
"1642",2
"1643",2
"1644",2
"1645",1
"1646",1
"1647",2
"1648",2
"1649",1
"1650",2
"1651",1
"1652",1
"1653",1
"1654",1
"1655",2
"1656",1
"1657",1
"1658",2
"1659",1
"1660",2
"1661",1
"1662",2
"1663",1
"1664",1
"1665",1
"1666",1
"1667",1
"1668",2
"1669",2
"1670",2
"1671",2
"1672",2
"1673",1
"1674",1
"1675",1
"1676",1
"1677",2
"1678",1
"1679",1
"1680",1
"1681",1
"1682",2
"1683",1
"1684",1
"1685",1
"1686",1
"1687",2
"1688",1
"1689",1
"1690",1
"1691",1
"1692",2
"1693",2
"1694",2
"1695",2
"1696",2
"1697",1
"1698",2
"1699",1
"1700",1
"1701",2
"1702",1
"1703",1
"1704",2
"1705",1
"1706",2
"1707",2
"1708",1
"1709",1
"1710",1
"1711",2
"1712",1
"1713",1
"1714",2
"1715",2
"1716",1
"1717",1
"1718",1
"1719",2
"1720",2
"1721",1
"1722",1
"1723",1
"1724",1
"1725",2
"1726",1
"1727",1
"1728",1
"1729",2
"1730",1
"1731",1
"1732",2
"1733",2
"1734",1
"1735",2
"1736",2
"1737",2
"1738",2
"1739",1
"1740",2
"1741",1
"1742",1
"1743",1
"1744",1
"1745",2
"1746",2
"1747",1
"1748",1
"1749",2
"1750",2
"1751",2
"1752",1
"1753",1
"1754",2
"1755",2
"1756",2
"1757",2
"1758",1
"1759",1
"1760",2
"1761",2
"1762",1
"1763",1
"1764",1
"1765",1
"1766",1
"1767",2
"1768",2
"1769",1
"1770",1
"1771",2
"1772",2
"1773",1
"1774",2
"1775",1
"1776",1
"1777",1
"1778",1
"1779",1
"1780",1
"1781",1
"1782",2
"1783",1
"1784",1
"1785",1
"1786",1
"1787",1
"1788",1
"1789",1
"1790",2
"1791",1
"1792",2
"1793",1
"1794",1
"1795",1
"1796",2
"1797",1
"1798",1
"1799",2
"1800",2
"1801",1
"1802",1
"1803",2
"1804",2
"1805",2
"1806",1
"1807",1
"1808",2
"1809",1
"1810",1
"1811",2
"1812",1
"1813",1
"1814",1
"1815",2
"1816",1
"1817",1
"1818",1
"1819",1
"1820",1
"1821",1
"1822",1
"1823",1
"1824",2
"1825",2
"1826",1
"1827",2
"1828",1
"1829",1
"1830",1
"1831",2
"1832",1
"1833",2
"1834",2
"1835",1
"1836",2
"1837",1
"1838",2
"1839",2
"1840",2
"1841",1
"1842",2
"1843",1
"1844",1
"1845",1
"1846",1
"1847",2
"1848",1
"1849",2
"1850",2
"1851",2
"1852",1
"1853",1
"1854",1
"1855",2
"1856",1
"1857",2
"1858",2
"1859",2
"1860",1
"1861",1
"1862",1
"1863",1
"1864",1
"1865",2
"1866",1
"1867",1
"1868",1
"1869",1
"1870",1
"1871",1
"1872",2
"1873",2
"1874",1
"1875",1
"1876",1
"1877",1
"1878",1
"1879",1
"1880",1
"1881",1
"1882",1
"1883",1
"1884",1
"1885",2
"1886",2
"1887",1
"1888",1
"1889",1
"1890",2
"1891",2
"1892",1
"1893",1
"1894",1
"1895",1
"1896",1
"1897",2
"1898",1
"1899",1
"1900",2
"1901",1
"1902",1
"1903",1
"1904",2
"1905",1
"1906",1
"1907",1
"1908",2
"1909",1
"1910",1
"1911",2
"1912",1
"1913",1
"1914",1
"1915",1
"1916",2
"1917",2
"1918",2
"1919",1
"1920",1
"1921",2
"1922",1
"1923",1
"1924",1
"1925",1
"1926",1
"1927",2
"1928",1
"1929",1
"1930",1
"1931",1
"1932",1
"1933",1
"1934",2
"1935",1
"1936",2
"1937",1
"1938",1
"1939",1
"1940",1
"1941",1
"1942",1
"1943",1
"1944",2
"1945",1
"1946",2
"1947",1
"1948",1
"1949",1
"1950",1
"1951",2
"1952",1
"1953",1
"1954",2
"1955",2
"1956",2
"1957",1
"1958",1
"1959",2
"1960",2
"1961",1
"1962",1
"1963",1
"1964",1
"1965",1
"1966",2
"1967",1
"1968",2
"1969",1
"1970",2
"1971",1
"1972",2
"1973",1
"1974",2
"1975",2
"1976",1
"1977",1
"1978",2
"1979",1
"1980",1
"1981",1
"1982",2
"1983",1
"1984",1
"1985",1
"1986",2
"1987",1
"1988",1
"1989",2
"1990",1
"1991",1
"1992",2
"1993",2
"1994",1
"1995",1
"1996",2
"1997",2
"1998",1
"1999",1
"2000",2
"2001",1
"2002",2
"2003",1
"2004",1
"2005",2
"2006",1
"2007",2
"2008",1
"2009",2
"2010",2
"2011",2
"2012",1
"2013",1
"2014",1
"2015",1
"2016",1
"2017",1
"2018",2
"2019",1
"2020",1
"2021",2
"2022",2
"2023",2
"2024",2
"2025",2
"2026",1
"2027",1
"2028",1
"2029",2
"2030",2
"2031",1
"2032",1
"2033",1
"2034",2
"2035",1
"2036",1
"2037",2
"2038",1
"2039",2
"2040",1
"2041",1
"2042",1
"2043",1
"2044",2
"2045",1
"2046",1
"2047",1
"2048",1
"2049",2
"2050",1
"2051",1
"2052",1
"2053",1
"2054",1
"2055",2
"2056",2
"2057",1
"2058",2
"2059",1
"2060",1
"2061",1
"2062",1
"2063",1
"2064",1
"2065",1
"2066",1
"2067",2
"2068",1
"2069",1
"2070",1
"2071",1
"2072",2
"2073",2
"2074",1
"2075",1
"2076",1
"2077",2
"2078",2
"2079",1
"2080",1
"2081",1
"2082",1
"2083",1
"2084",1
"2085",2
"2086",2
"2087",2
"2088",2
"2089",2
"2090",1
"2091",1
"2092",1
"2093",1
"2094",2
"2095",2
"2096",1
"2097",1
"2098",1
"2099",1
"2100",1
"2101",1
"2102",1
"2103",2
"2104",1
"2105",1
"2106",1
"2107",1
"2108",2
"2109",1
"2110",1
"2111",1
"2112",1
"2113",2
"2114",1
"2115",2
"2116",2
"2117",2
"2118",1
"2119",2
"2120",2
"2121",2
"2122",1
"2123",1
"2124",2
"2125",1
"2126",2
"2127",2
"2128",2
"2129",1
"2130",2
"2131",2
"2132",1
"2133",1
"2134",2
"2135",1
"2136",2
"2137",2
"2138",2
"2139",1
"2140",1
"2141",2
"2142",1
"2143",1
"2144",2
"2145",1
"2146",2
"2147",1
"2148",1
"2149",1
"2150",1
"2151",2
"2152",1
"2153",1
"2154",2
"2155",1
"2156",2
"2157",1
"2158",2
"2159",1
"2160",1
"2161",1
"2162",1
"2163",1
"2164",2
"2165",1
"2166",1
"2167",2
"2168",2
"2169",2
"2170",1
"2171",2
"2172",1
"2173",1
"2174",1
"2175",1
"2176",2
"2177",1
"2178",2
"2179",1
"2180",1
"2181",2
"2182",1
"2183",2
"2184",1
"2185",1
"2186",2
"2187",1
"2188",1
"2189",1
"2190",2
"2191",1
"2192",2
"2193",1
"2194",2
"2195",1
"2196",1
"2197",2
"2198",1
"2199",1
"2200",1
"2201",1
"2202",1
"2203",2
"2204",2
"2205",2
"2206",1
"2207",1
"2208",1
"2209",1
"2210",1
"2211",1
"2212",2
"2213",1
"2214",1
"2215",1
"2216",1
"2217",2
"2218",1
"2219",1
"2220",1
"2221",2
"2222",2
"2223",2
"2224",2
"2225",2
"2226",2
"2227",1
"2228",2
"2229",1
"2230",1
"2231",1
"2232",1
"2233",2
"2234",2
"2235",1
"2236",1
"2237",1
"2238",1
"2239",2
"2240",1
"2241",2
"2242",2
"2243",1
"2244",1
"2245",2
"2246",1
"2247",2
"2248",1
"2249",1
"2250",1
"2251",1
"2252",2
"2253",2
"2254",1
"2255",2
"2256",2
"2257",2
"2258",2
"2259",1
"2260",1
"2261",1
"2262",1
"2263",1
"2264",2
"2265",1
"2266",1
"2267",1
"2268",1
"2269",1
"2270",2
"2271",1
"2272",1
"2273",1
"2274",1
"2275",1
"2276",1
"2277",1
"2278",2
"2279",1
"2280",1
"2281",1
"2282",2
"2283",2
"2284",2
"2285",1
"2286",1
"2287",2
"2288",2
"2289",1
"2290",2
"2291",1
"2292",2
"2293",1
"2294",1
"2295",1
"2296",1
"2297",1
"2298",1
"2299",2
"2300",1
"2301",1
"2302",1
"2303",2
"2304",1
"2305",2
"2306",1
"2307",1
"2308",1
"2309",1
"2310",1
"2311",2
"2312",1
"2313",1
"2314",1
"2315",1
"2316",1
"2317",2
"2318",1
"2319",2
"2320",2
"2321",2
"2322",2
"2323",2
"2324",2
"2325",1
"2326",1
"2327",1
"2328",1
"2329",1
"2330",1
"2331",2
"2332",2
"2333",2
"2334",1
"2335",1
"2336",2
"2337",1
"2338",2
"2339",1
"2340",1
"2341",1
"2342",2
"2343",2
"2344",1
"2345",1
"2346",1
"2347",1
"2348",2
"2349",1
"2350",1
"2351",1
"2352",2
"2353",1
"2354",2
"2355",1
"2356",1
"2357",1
"2358",1
"2359",1
"2360",1
"2361",1
"2362",1
"2363",1
"2364",1
"2365",1
"2366",1
"2367",1
"2368",2
"2369",1
"2370",1
"2371",1
"2372",2
"2373",2
"2374",1
"2375",1
"2376",2
"2377",2
"2378",1
"2379",1
"2380",1
"2381",1
"2382",2
"2383",1
"2384",1
"2385",1
"2386",2
"2387",1
"2388",1
"2389",2
"2390",2
"2391",2
"2392",2
"2393",1
"2394",1
"2395",1
"2396",1
"2397",1
"2398",1
"2399",2
"2400",1
"2401",1
"2402",1
"2403",1
"2404",1
"2405",2
"2406",1
"2407",2
"2408",1
"2409",1
"2410",1
"2411",1
"2412",1
"2413",2
"2414",1
"2415",2
"2416",1
"2417",2
"2418",2
"2419",1
"2420",1
"2421",1
"2422",1
"2423",1
"2424",1
"2425",2
"2426",1
"2427",1
"2428",1
"2429",1
"2430",2
"2431",1
"2432",2
"2433",1
"2434",1
"2435",1
"2436",1
"2437",1
"2438",2
"2439",2
"2440",1
"2441",1
"2442",2
"2443",1
"2444",1
"2445",1
"2446",2
"2447",1
"2448",1
"2449",2
"2450",1
"2451",2
"2452",1
"2453",1
"2454",1
"2455",1
"2456",2
"2457",2
"2458",1
"2459",1
"2460",1
"2461",1
"2462",1
"2463",1
"2464",2
"2465",2
"2466",1
"2467",1
"2468",2
"2469",2
"2470",2
"2471",2
"2472",1
"2473",2
"2474",1
"2475",1
"2476",1
"2477",1
"2478",1
"2479",1
"2480",1
"2481",2
"2482",1
"2483",1
"2484",2
"2485",1
"2486",1
"2487",1
"2488",1
"2489",2
"2490",1
"2491",2
"2492",2
"2493",1
"2494",2
"2495",1
"2496",2
"2497",2
"2498",2
